model: linear, C: 1, pre1: [1], pre2: [0], acc: 0.7390980245993292
model: linear, C: 5, pre1: [1], pre2: [0], acc: 0.7368617219530377
model: linear, C: 10, pre1: [1], pre2: [0], acc: 0.7532612746925084
model: linear, C: 50, pre1: [1], pre2: [0], acc: 0.7562430115542303
model: linear, C: 100, pre1: [1], pre2: [0], acc: 0.7364890048453224
model: linear, C: 1024, pre1: [1], pre2: [0], acc: 0.7383525903838987
model: linear, C: 32768, pre1: [1], pre2: [0], acc: 0.7443160641073425
model: poly, C: 1, degree: 1,  pre1: [0], pre2: [0], acc: 0.8408497950055908
model: poly, C: 1, degree: 2,  pre1: [0], pre2: [0], acc: 0.8285501304509877
model: poly, C: 1, degree: 3,  pre1: [0], pre2: [0], acc: 0.8225866567275438
model: poly, C: 1, degree: 4,  pre1: [0], pre2: [0], acc: 0.838240775251584
model: poly, C: 1, degree: 5,  pre1: [0], pre2: [0], acc: 0.8300409988818487
model: poly, C: 1, degree: 6,  pre1: [0], pre2: [0], acc: 0.8237048080506896
model: poly, C: 1, degree: 7,  pre1: [0], pre2: [0], acc: 0.8296682817741334
model: poly, C: 1, degree: 8,  pre1: [0], pre2: [0], acc: 0.8393589265747298
model: poly, C: 5, degree: 1,  pre1: [0], pre2: [0], acc: 0.8363771897130078
model: poly, C: 5, degree: 2,  pre1: [0], pre2: [0], acc: 0.8289228475587029
model: poly, C: 5, degree: 3,  pre1: [0], pre2: [0], acc: 0.8389862094670145
model: poly, C: 5, degree: 4,  pre1: [0], pre2: [0], acc: 0.8393589265747298
model: poly, C: 5, degree: 5,  pre1: [0], pre2: [0], acc: 0.8266865449124114
model: poly, C: 5, degree: 6,  pre1: [0], pre2: [0], acc: 0.8371226239284383
model: poly, C: 5, degree: 7,  pre1: [0], pre2: [0], acc: 0.8345136041744317
model: poly, C: 5, degree: 8,  pre1: [0], pre2: [0], acc: 0.8240775251584048
model: poly, C: 10, degree: 1,  pre1: [0], pre2: [0], acc: 0.8434588147595975
model: poly, C: 10, degree: 2,  pre1: [0], pre2: [0], acc: 0.8419679463287365
model: poly, C: 10, degree: 3,  pre1: [1], pre2: [0], acc: 0.8483041371598956
model: poly, C: 10, degree: 4,  pre1: [0], pre2: [0], acc: 0.8315318673127097
model: poly, C: 10, degree: 5,  pre1: [0], pre2: [0], acc: 0.8512858740216176
model: poly, C: 10, degree: 6,  pre1: [0], pre2: [0], acc: 0.836749906820723
model: poly, C: 10, degree: 7,  pre1: [0], pre2: [0], acc: 0.8237048080506896
model: poly, C: 10, degree: 8,  pre1: [0], pre2: [0], acc: 0.841222512113306
model: poly, C: 50, degree: 1,  pre1: [0], pre2: [0], acc: 0.8337681699590012
model: poly, C: 50, degree: 2,  pre1: [0], pre2: [0], acc: 0.838240775251584
model: poly, C: 50, degree: 3,  pre1: [0], pre2: [0], acc: 0.8285501304509877
model: poly, C: 50, degree: 4,  pre1: [0], pre2: [0], acc: 0.8289228475587029
model: poly, C: 50, degree: 5,  pre1: [0], pre2: [0], acc: 0.8300409988818487
model: poly, C: 50, degree: 6,  pre1: [0], pre2: [0], acc: 0.835259038389862
model: poly, C: 50, degree: 7,  pre1: [0], pre2: [0], acc: 0.8356317554975773
model: poly, C: 50, degree: 8,  pre1: [0], pre2: [0], acc: 0.842713380544167
model: poly, C: 100, degree: 1,  pre1: [0], pre2: [0], acc: 0.842713380544167
model: poly, C: 100, degree: 2,  pre1: [0], pre2: [0], acc: 0.8404770778978755
model: poly, C: 100, degree: 3,  pre1: [0], pre2: [0], acc: 0.8315318673127097
model: poly, C: 100, degree: 4,  pre1: [0], pre2: [0], acc: 0.845695117405889
model: poly, C: 100, degree: 5,  pre1: [0], pre2: [0], acc: 0.8330227357435707
model: poly, C: 100, degree: 6,  pre1: [0], pre2: [0], acc: 0.8348863212821469
model: poly, C: 100, degree: 7,  pre1: [0], pre2: [0], acc: 0.8300409988818487
model: poly, C: 100, degree: 8,  pre1: [0], pre2: [0], acc: 0.8374953410361535
model: poly, C: 1024, degree: 1,  pre1: [0], pre2: [0], acc: 0.825941110696981
model: poly, C: 1024, degree: 2,  pre1: [0], pre2: [0], acc: 0.8404770778978755
model: poly, C: 1024, degree: 3,  pre1: [0], pre2: [0], acc: 0.8240775251584048
model: poly, C: 1024, degree: 4,  pre1: [0], pre2: [0], acc: 0.8304137159895639
model: poly, C: 1024, degree: 5,  pre1: [0], pre2: [0], acc: 0.8438315318673127
model: poly, C: 1024, degree: 6,  pre1: [0], pre2: [0], acc: 0.8300409988818487
model: poly, C: 1024, degree: 7,  pre1: [0], pre2: [0], acc: 0.8363771897130078
model: poly, C: 1024, degree: 8,  pre1: [0], pre2: [0], acc: 0.8393589265747298
model: poly, C: 32768, degree: 1,  pre1: [0], pre2: [0], acc: 0.836749906820723
model: poly, C: 32768, degree: 2,  pre1: [0], pre2: [0], acc: 0.8300409988818487
model: poly, C: 32768, degree: 3,  pre1: [0], pre2: [0], acc: 0.8348863212821469
model: poly, C: 32768, degree: 4,  pre1: [0], pre2: [0], acc: 0.8322773015281402
model: poly, C: 32768, degree: 5,  pre1: [0], pre2: [0], acc: 0.8438315318673127
model: poly, C: 32768, degree: 6,  pre1: [0], pre2: [0], acc: 0.8348863212821469
model: poly, C: 32768, degree: 7,  pre1: [0], pre2: [0], acc: 0.8255683935892657
model: poly, C: 32768, degree: 8,  pre1: [0], pre2: [0], acc: 0.8371226239284383
model: rbf, C: 1, gamma: 1,  pre1: [0], pre2: [0], acc: 0.9045844204248975
model: rbf, C: 1, gamma: 2,  pre1: [1], pre2: [1], acc: 0.9071934401789042
model: rbf, C: 1, gamma: 3,  pre1: [0], pre2: [0], acc: 0.9030935519940365
model: rbf, C: 1, gamma: 4,  pre1: [0], pre2: [0], acc: 0.9049571375326128
model: rbf, C: 1, gamma: 5,  pre1: [0], pre2: [0], acc: 0.9135296310100633
model: rbf, C: 1, gamma: 6,  pre1: [0], pre2: [0], acc: 0.9012299664554603
